"OTU","Mucin.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Mucin.RF.Rank","Enrichment.Mucin","ASV.Family"
"ASV85",0.310879487179487,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",1,"Stress + Mucin","ASV85  ( Rikenellaceae )"
"ASV63",0.276094444444444,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",2,"Stress Alone","ASV63  ( Lachnospiraceae )"
"ASV176",0.263729148629149,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",3,"Stress Alone","ASV176  ( Lachnospiraceae )"
"ASV186",0.23795303030303,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella",4,"Stress + Mucin","ASV186  ( Lachnospiraceae )"
"ASV49",0.23476911976912,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",5,"Stress Alone","ASV49  ( Lachnospiraceae )"
"ASV105",0.206529292929293,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",6,"Stress + Mucin","ASV105  ( Muribaculaceae )"
"ASV129",0.185585425685426,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",7,"Stress Alone","ASV129  ( Lachnospiraceae )"
"ASV259",0.184161111111111,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",8,"Stress Alone","ASV259  ( Erysipelatoclostridiaceae )"
"ASV87",0.172537229437229,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,9,"Stress + Mucin","ASV87  ( Muribaculaceae )"
"ASV288",0.144450865800866,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",10,"Stress Alone","ASV288  ( Lachnospiraceae )"
"ASV312",0.129880158730159,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,11,"Stress Alone","ASV312  ( Lachnospiraceae )"
"ASV66",0.129071500721501,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,12,"Stress + Mucin","ASV66  ( Lachnospiraceae )"
"ASV397",0.117912698412698,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,13,"Stress Alone","ASV397  ( Muribaculaceae )"
"ASV104",0.109223015873016,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,14,"Stress Alone","ASV104  ( Lachnospiraceae )"
"ASV136",0.105865873015873,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,15,"Stress Alone","ASV136  ( Lachnospiraceae )"
"ASV113",0.100663636363636,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",16,"Stress Alone","ASV113  ( Lachnospiraceae )"
"ASV61",0.0971325396825397,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",17,"Stress Alone","ASV61  ( Lachnospiraceae )"
"ASV233",0.0925540404040404,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,18,"Stress Alone","ASV233  ( Lachnospiraceae )"
"ASV218",0.0912004107004107,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,19,"Stress Alone","ASV218  ( Muribaculaceae )"
"ASV78",0.09095,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella",20,"Stress Alone","ASV78  ( Lachnospiraceae )"
"ASV197",0.0758032467532468,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",21,"Stress Alone","ASV197  ( Ruminococcaceae )"
"ASV341",0.0745919913419913,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,22,"Stress Alone","ASV341  ( Lachnospiraceae )"
"ASV57",0.073897619047619,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,23,"Stress Alone","ASV57  ( Muribaculaceae )"
"ASV437",0.0723134920634921,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",24,"Stress Alone","ASV437  ( Oscillospiraceae )"
"ASV131",0.0689444444444445,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,25,"Stress Alone","ASV131  ( Muribaculaceae )"
"ASV58",0.0689333333333333,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,26,"Stress + Mucin","ASV58  ( Muribaculaceae )"
"ASV81",0.0664262626262626,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",27,"Stress Alone","ASV81  ( Lachnospiraceae )"
"ASV141",0.0654468253968254,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter",28,"Stress + Mucin","ASV141  ( Marinifilaceae )"
"ASV146",0.0613292929292929,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",29,"Stress Alone","ASV146  ( Lachnospiraceae )"
"ASV159",0.0598786435786436,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",30,"Stress Alone","ASV159  ( Lachnospiraceae )"
"ASV139",0.0596944444444445,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus Arthromitus",31,"Stress + Mucin","ASV139  ( Clostridiaceae )"
"ASV675",0.0544925907425907,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",32,"Stress + Mucin","ASV675  ( Eggerthellaceae )"
"ASV137",0.053831746031746,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,33,"Stress Alone","ASV137  ( Oscillospiraceae )"
"ASV79",0.052952380952381,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,34,"Stress Alone","ASV79  ( Lachnospiraceae )"
"ASV301",0.0516976190476191,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,35,"Stress + Mucin","ASV301  ( Oscillospiraceae )"
"ASV252",0.0487388888888889,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,36,"Stress + Mucin","ASV252  ( NA )"
"ASV450",0.0485598845598846,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,37,"Stress Alone","ASV450  ( NA )"
"ASV165",0.0472802308802309,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,38,"Stress Alone","ASV165  ( Lachnospiraceae )"
"ASV65",0.0458777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",39,"Stress Alone","ASV65  ( Lachnospiraceae )"
"ASV264",0.0451171717171717,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,40,"Stress Alone","ASV264  ( Erysipelotrichaceae )"
"ASV497",0.0449953102453102,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group",41,"Stress Alone","ASV497  ( Anaerovoracaceae )"
"ASV279",0.0447953102453102,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,42,"Stress + Mucin","ASV279  ( Lachnospiraceae )"
"ASV350",0.0447705627705628,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,43,"Stress + Mucin","ASV350  ( NA )"
"ASV248",0.0431328282828283,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",44,"Stress + Mucin","ASV248  ( Muribaculaceae )"
"ASV353",0.0383274891774892,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,45,"Stress + Mucin","ASV353  ( Lachnospiraceae )"
"ASV147",0.0367666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,46,"Stress Alone","ASV147  ( Lachnospiraceae )"
"ASV89",0.0366580808080808,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",47,"Stress + Mucin","ASV89  ( Lachnospiraceae )"
"ASV10",0.0362435786435786,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",48,"Stress Alone","ASV10  ( Lactobacillaceae )"
"ASV212",0.0346277777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-006",49,"Stress + Mucin","ASV212  ( Lachnospiraceae )"
"ASV145",0.0330992784992785,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",50,"Stress Alone","ASV145  ( Oscillospiraceae )"
"ASV205",0.032990404040404,"Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",51,"Stress + Mucin","ASV205  ( Monoglobaceae )"
"ASV19",0.0315151515151515,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",52,"Stress + Mucin","ASV19  ( Oscillospiraceae )"
"ASV88",0.03085,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",53,"Stress Alone","ASV88  ( Oscillospiraceae )"
"ASV126",0.0306834776334776,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",54,"Stress + Mucin","ASV126  ( Rikenellaceae )"
"ASV26",0.0303737373737374,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",55,"Stress Alone","ASV26  ( Lachnospiraceae )"
"ASV223",0.0294707070707071,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus",56,"Stress Alone","ASV223  ( Ruminococcaceae )"
"ASV266",0.02915,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,57,"Stress + Mucin","ASV266  ( Erysipelotrichaceae )"
"ASV448",0.0289142857142857,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",58,"Stress Alone","ASV448  ( Oscillospiraceae )"
"ASV91",0.02885,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,59,"Stress + Mucin","ASV91  ( Lachnospiraceae )"
"ASV33",0.0284850427350427,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",60,"Stress Alone","ASV33  ( Lachnospiraceae )"
"ASV250",0.0280508658008658,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,61,"Stress Alone","ASV250  ( Lachnospiraceae )"
"ASV270",0.0267746031746032,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,62,"Stress Alone","ASV270  ( Lachnospiraceae )"
"ASV414",0.0262372294372294,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",63,"Stress Alone","ASV414  ( Lachnospiraceae )"
"ASV349",0.0253777777777778,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,64,"Stress Alone","ASV349  ( Ruminococcaceae )"
"ASV203",0.0243912698412698,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,65,"Stress + Mucin","ASV203  ( Lachnospiraceae )"
"ASV121",0.0226242424242424,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,66,"Stress Alone","ASV121  ( Lachnospiraceae )"
"ASV67",0.0221579365079365,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",67,"Stress Alone","ASV67  ( Lachnospiraceae )"
"ASV82",0.0221333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",68,"Stress Alone","ASV82  ( Lachnospiraceae )"
"ASV315",0.0215690476190476,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",69,"Stress Alone","ASV315  ( Oscillospiraceae )"
"ASV171",0.0213772727272727,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,70,"Stress Alone","ASV171  ( Lachnospiraceae )"
"ASV295",0.0212777777777778,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",71,"Stress Alone","ASV295  ( Oscillospiraceae )"
"ASV202",0.0209262626262626,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,72,"Stress + Mucin","ASV202  ( NA )"
"ASV101",0.0208722222222222,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",73,"Stress Alone","ASV101  ( Oscillospiraceae )"
"ASV35",0.0206548562548563,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,74,"Stress Alone","ASV35  ( Muribaculaceae )"
"ASV207",0.0204214285714286,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,75,"Stress Alone","ASV207  ( NA )"
"ASV304",0.0196166666666667,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,76,"Stress + Mucin","ASV304  ( NA )"
"ASV253",0.0196031746031746,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",77,"Stress Alone","ASV253  ( Lachnospiraceae )"
"ASV320",0.0194666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,78,"Stress Alone","ASV320  ( Lachnospiraceae )"
"ASV247",0.0193738095238095,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-006",79,"Stress Alone","ASV247  ( Lachnospiraceae )"
"ASV93",0.0192587301587302,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",80,"Stress + Mucin","ASV93  ( Rikenellaceae )"
"ASV390",0.0184671717171717,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",81,"Stress Alone","ASV390  ( Lachnospiraceae )"
"ASV484",0.01825,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,82,"Stress + Mucin","ASV484  ( NA )"
"ASV20",0.0180512043512044,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,83,"Stress Alone","ASV20  ( Muribaculaceae )"
"ASV28",0.017719696969697,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,84,"Stress Alone","ASV28  ( Muribaculaceae )"
"ASV433",0.0176888888888889,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA,85,"Stress + Mucin","ASV433  ( Christensenellaceae )"
"ASV244",0.0168198412698413,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",86,"Stress Alone","ASV244  ( Lachnospiraceae )"
"ASV51",0.016640404040404,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",87,"Stress + Mucin","ASV51  ( Lachnospiraceae )"
"ASV228",0.0162944444444444,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",88,"Stress + Mucin","ASV228  ( Lachnospiraceae )"
"ASV92",0.0159777777777778,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,89,"Stress Alone","ASV92  ( Muribaculaceae )"
"ASV285",0.0157333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",90,"Stress + Mucin","ASV285  ( Lachnospiraceae )"
"ASV415",0.0156190476190476,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",91,"Stress Alone","ASV415  ( Oscillospiraceae )"
"ASV32",0.0152333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,92,"Stress Alone","ASV32  ( Oscillospiraceae )"
"ASV182",0.0147,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,93,"Stress Alone","ASV182  ( Lachnospiraceae )"
"ASV124",0.0146666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",94,"Stress + Mucin","ASV124  ( Lachnospiraceae )"
"ASV371",0.0146333333333333,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",95,"Stress Alone","ASV371  ( Eggerthellaceae )"
"ASV224",0.01445,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",96,"Stress Alone","ASV224  ( Lachnospiraceae )"
"ASV307",0.0144205128205128,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,97,"Stress + Mucin","ASV307  ( Oscillospiraceae )"
"ASV372",0.0144,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,98,"Stress + Mucin","ASV372  ( Oscillospiraceae )"
"ASV110",0.0138666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",99,"Stress Alone","ASV110  ( Lachnospiraceae )"
"ASV17",0.0138595238095238,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,100,"Stress Alone","ASV17  ( Muribaculaceae )"
"ASV234",0.0137222222222222,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,101,"Stress Alone","ASV234  ( NA )"
"ASV385",0.0136944444444444,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",102,"Stress Alone","ASV385  ( Oscillospiraceae )"
"ASV327",0.0135111111111111,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,103,"Stress + Mucin","ASV327  ( NA )"
"ASV107",0.0133333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",104,"Stress Alone","ASV107  ( Lachnospiraceae )"
"ASV56",0.0132568764568765,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,105,"Stress + Mucin","ASV56  ( Muribaculaceae )"
"ASV204",0.013018253968254,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",106,"Stress + Mucin","ASV204  ( Lachnospiraceae )"
"ASV42",0.012952380952381,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ventriosum group",107,"Stress Alone","ASV42  ( Lachnospiraceae )"
"ASV242",0.0127828282828283,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-004",108,"Stress + Mucin","ASV242  ( Lachnospiraceae )"
"ASV237",0.0126857142857143,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,109,"Stress Alone","ASV237  ( NA )"
"ASV195",0.0126429292929293,"Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,110,"Stress + Mucin","ASV195  ( UCG-010 )"
"ASV43",0.0124690476190476,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,111,"Stress + Mucin","ASV43  ( Lachnospiraceae )"
"ASV191",0.0123348484848485,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",112,"Stress + Mucin","ASV191  ( Lachnospiraceae )"
"ASV217",0.0123151515151515,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,113,"Stress + Mucin","ASV217  ( Lachnospiraceae )"
"ASV619",0.0120666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-006",114,"Stress + Mucin","ASV619  ( Lachnospiraceae )"
"ASV55",0.0119,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,115,"Stress Alone","ASV55  ( Lachnospiraceae )"
"ASV296",0.011830303030303,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,116,"Stress Alone","ASV296  ( Lachnospiraceae )"
"ASV198",0.0117651515151515,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,117,"Stress Alone","ASV198  ( Lachnospiraceae )"
"ASV161",0.0116412698412698,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,118,"Stress + Mucin","ASV161  ( Lachnospiraceae )"
